n,time1,check1,time2,check2,time3,check3,time4,check4,time5,check5,time6,check6,time7,check7,time8,check8,time128,check128,time2048,check2048
3100,84,1624.958231,46,1624.958231,36,1624.958231,31,1624.958231,35,1624.958231,31,1624.958231,26,1624.958231,26,1624.958231,345,1624.958231,1790,1624.958231
4230,156,2520.657386,86,2520.657386,65,2520.657386,56,2520.657386,63,2520.657386,57,2520.657386,47,2520.657386,49,2520.657386,452,2520.657386,1787,2520.657386
5360,246,3238.359313,136,3238.359313,108,3238.359313,88,3238.359313,101,3238.359313,91,3238.359313,78,3238.359313,78,3238.359313,429,3238.359313,2112,3238.359313
6490,357,3737.767778,199,3737.767778,154,3737.767778,134,3737.767778,149,3737.767778,134,3737.767778,112,3737.767778,119,3737.767778,502,3737.767778,1845,3737.767778
7620,486,4207.992380,274,4207.992380,211,4207.992380,181,4207.992380,205,4207.992380,174,4207.992380,155,4207.992380,165,4207.992380,597,4207.992380,2001,4207.992380
8750,643,4936.928334,361,4936.928334,278,4936.928334,235,4936.928334,271,4936.928334,237,4936.928334,202,4936.928334,215,4936.928334,653,4936.928334,1733,4936.928334
9880,819,5766.109101,458,5766.109101,355,5766.109101,299,5766.109101,345,5766.109101,310,5766.109101,258,5766.109101,258,5766.109101,798,5766.109101,1524,5766.109101
11010,1005,6428.429666,568,6428.429666,437,6428.429666,369,6428.429666,429,6428.429666,383,6428.429666,320,6428.429666,346,6428.429666,931,6428.429666,1432,6428.429666
12140,1218,7182.791187,690,7182.791187,531,7182.791187,449,7182.791187,522,7182.791187,444,7182.791187,414,7182.791187,391,7182.791187,910,7182.791187,1364,7182.791187
13270,1463,7857.065132,822,7857.065132,635,7857.065132,536,7857.065132,623,7857.065132,542,7857.065132,464,7857.065132,471,7857.065132,1025,7857.065132,1658,7857.065132
14400,1707,8548.341938,970,8548.341938,748,8548.341938,631,8548.341938,725,8548.341938,654,8548.341938,547,8548.341938,579,8548.341938,1041,8548.341938,1726,8548.341938
